date,price,true
2022-05-19,0.27751052,0.4231231
2022-05-20,0.27751052,0.44978324
2022-05-21,0.27751052,0.43114683
2022-05-22,0.27751052,0.43503267
2022-05-23,0.27751052,0.44926408
2022-05-24,0.27751052,0.42959633
2022-05-25,0.27751052,0.43774003
2022-05-26,0.27751052,0.43657976
2022-05-27,0.27751052,0.4326364
2022-05-28,0.27751052,0.42104438
2022-05-29,0.27751052,0.4283557
2022-05-30,0.27751052,0.43504912
2022-05-31,0.27751052,0.47227645
2022-06-01,0.27751052,0.4743429
2022-06-02,0.27751052,0.44069418
2022-06-03,0.27751052,0.4514159
2022-06-04,0.27751052,0.43871883
2022-06-05,0.27751052,0.44133842
2022-06-06,0.27751052,0.44209015
2022-06-07,0.27751052,0.4661776
2022-06-08,0.27751052,0.4644041
2022-06-09,0.27751052,0.4472472
2022-06-10,0.27751052,0.4451271
2022-06-11,0.27751052,0.42857197
2022-06-12,0.27751052,0.4165325
2022-06-13,0.27751052,0.38992748
2022-06-14,0.27751052,0.31970105
2022-06-15,0.27751052,0.31504986
2022-06-16,0.27751052,0.31975782
2022-06-17,0.27751052,0.28464863
2022-06-18,0.27751052,0.28571427
2022-06-19,0.27751052,0.26211008
2022-06-20,0.27751052,0.28643218
2022-06-21,0.27751052,0.28842476
2022-06-22,0.27751052,0.28948712
2022-06-23,0.27751052,0.27760985
2022-06-24,0.27751052,0.2960991
2022-06-25,0.27751052,0.29878867
2022-06-26,0.27751052,0.30314592
2022-06-27,0.27751052,0.29531324
2022-06-28,0.27751052,0.29032415
2022-06-29,0.27751052,0.28256
2022-06-30,0.27751052,0.27967888
2022-07-01,0.27751052,0.2713982
2022-07-02,0.27751052,0.2680711
2022-07-03,0.27751052,0.265766
2022-07-04,0.27751052,0.2664615
2022-07-05,0.27751052,0.2821373
2022-07-06,0.27751052,0.2810076
2022-07-07,0.27751052,0.2872646
2022-07-08,0.27751052,0.3053764
2022-07-09,0.27751052,0.3086584
2022-07-10,0.27751052,0.3042014
2022-07-11,0.27751052,0.29211786
2022-07-12,0.27751052,0.2778566
2022-07-13,0.27751052,0.26713213
2022-07-14,0.27751052,0.28161123
2022-07-15,0.27751052,0.2873996
2022-07-16,0.27751052,0.29104164
2022-07-17,0.27751052,0.29763582
2022-07-18,0.27751052,0.2915309
2022-07-19,0.27751052,0.31754196
2022-07-20,0.27751052,0.33362776
2022-07-21,0.27751052,0.33274013
2022-07-22,0.27751052,0.33012265
2022-07-23,0.27751052,0.3225345
2022-07-24,0.27751052,0.31937703
2022-07-25,0.27751052,0.32115725
2022-07-26,0.27751052,0.29990762
2022-07-27,0.27751052,0.29833996
2022-07-28,0.27751052,0.3260443
2022-07-29,0.27751052,0.34116384
2022-07-30,0.27751052,0.34158632
2022-07-31,0.27751052,0.3383722
2022-08-01,0.27751052,0.3338396
2022-08-02,0.27751052,0.33307877
2022-08-03,0.27751052,0.32844442
2022-08-04,0.27751052,0.3252419
2022-08-05,0.27751052,0.32222757
2022-08-06,0.27751052,0.3312788
2022-08-07,0.27751052,0.32729757
2022-08-08,0.27751052,0.3308246
2022-08-09,0.27751052,0.34119055
2022-08-10,0.27751052,0.33092523
2022-08-11,0.27751052,0.34326264
2022-08-12,0.27751052,0.34326136
2022-08-13,0.27751052,0.35092106
2022-08-14,0.27751052,0.35128987
2022-08-15,0.27751052,0.34928462
2022-08-16,0.27751052,0.34707382
2022-08-17,0.27751052,0.34267494
2022-08-18,0.27751052,0.33350378
2022-08-19,0.27751052,0.3316654
2022-08-20,0.27751052,0.29354212
2022-08-21,0.27751052,0.29734024
