date,price,true
2022-05-19,0.4414688,0.4231231
2022-05-20,0.42856967,0.44978324
2022-05-21,0.43197808,0.43114683
2022-05-22,0.43229863,0.43503267
2022-05-23,0.4448393,0.44926408
2022-05-24,0.44575086,0.42959633
2022-05-25,0.4675438,0.43774003
2022-05-26,0.48175302,0.43657976
2022-05-27,0.48840532,0.4326364
2022-05-28,0.4913545,0.42104438
2022-05-29,0.5021543,0.4283557
2022-05-30,0.4921361,0.43504912
2022-05-31,0.5081828,0.47227645
2022-06-01,0.026438717,0.4743429
2022-06-02,0.05265021,0.44069418
2022-06-03,0.08256689,0.4514159
2022-06-04,0.103107244,0.43871883
2022-06-05,0.14751914,0.44133842
2022-06-06,0.17152646,0.44209015
2022-06-07,0.19944854,0.4661776
2022-06-08,0.22249612,0.4644041
2022-06-09,0.24383171,0.4472472
2022-06-10,0.2706196,0.4451271
2022-06-11,0.28792515,0.42857197
2022-06-12,0.31194335,0.4165325
2022-06-13,0.33113718,0.38992748
2022-06-14,0.34232607,0.31970105
2022-06-15,0.36036885,0.31504986
2022-06-16,0.3813779,0.31975782
2022-06-17,0.3900426,0.28464863
2022-06-18,0.3936696,0.28571427
2022-06-19,0.3815854,0.26211008
2022-06-20,0.39346418,0.28643218
2022-06-21,0.42242172,0.28842476
2022-06-22,0.4343418,0.28948712
2022-06-23,0.42984506,0.27760985
2022-06-24,0.45092553,0.2960991
2022-06-25,0.45300475,0.29878867
2022-06-26,0.46292445,0.30314592
2022-06-27,0.48244074,0.29531324
2022-06-28,0.48403677,0.29032415
2022-06-29,0.49085942,0.28256
2022-06-30,0.5148431,0.27967888
2022-07-01,0.012400959,0.2713982
2022-07-02,0.035296973,0.2680711
2022-07-03,0.064210355,0.265766
2022-07-04,0.062424544,0.2664615
2022-07-05,0.12564653,0.2821373
2022-07-06,0.15150723,0.2810076
2022-07-07,0.17862384,0.2872646
2022-07-08,0.20541184,0.3053764
2022-07-09,0.22969869,0.3086584
2022-07-10,0.2504648,0.3042014
2022-07-11,0.2595723,0.29211786
2022-07-12,0.28395897,0.2778566
2022-07-13,0.30260605,0.26713213
2022-07-14,0.31688613,0.28161123
2022-07-15,0.3344989,0.2873996
2022-07-16,0.35299647,0.29104164
2022-07-17,0.3549785,0.29763582
2022-07-18,0.36776605,0.2915309
2022-07-19,0.37111616,0.31754196
2022-07-20,0.39169738,0.33362776
2022-07-21,0.40518862,0.33274013
2022-07-22,0.41190064,0.33012265
2022-07-23,0.42586395,0.3225345
2022-07-24,0.44251904,0.31937703
2022-07-25,0.4521384,0.32115725
2022-07-26,0.4645107,0.29990762
2022-07-27,0.47711065,0.29833996
2022-07-28,0.48345986,0.3260443
2022-07-29,0.48247606,0.34116384
2022-07-30,0.49427015,0.34158632
2022-07-31,0.5132842,0.3383722
2022-08-01,-0.012583751,0.3338396
2022-08-02,0.010067683,0.33307877
2022-08-03,0.04264902,0.32844442
2022-08-04,0.07079205,0.3252419
2022-08-05,0.09186565,0.32222757
2022-08-06,0.12540962,0.3312788
2022-08-07,0.15982863,0.32729757
2022-08-08,0.18015467,0.3308246
2022-08-09,0.20565592,0.34119055
2022-08-10,0.22300628,0.33092523
2022-08-11,0.24790166,0.34326264
2022-08-12,0.27286622,0.34326136
2022-08-13,0.29273146,0.35092106
2022-08-14,0.3161296,0.35128987
2022-08-15,0.31075734,0.34928462
2022-08-16,0.324711,0.34707382
2022-08-17,0.33685395,0.34267494
2022-08-18,0.33151823,0.33350378
2022-08-19,0.36636928,0.3316654
2022-08-20,0.37918133,0.29354212
2022-08-21,0.3901819,0.29734024
2022-08-22,0.39623398,0.3046341
2022-08-23,0.4161317,0.30085886
2022-08-24,0.41413227,0.30375144
2022-08-25,0.41985562,0.30098653
2022-08-26,0.44243664,0.3046713
2022-08-27,0.46084407,0.28237423
2022-08-28,0.46856207,0.27904016
2022-08-29,0.47771734,0.2722401
2022-08-30,0.47955748,0.28299576
2022-08-31,0.48956147,0.27465916
2022-09-01,-0.04118075,0.27827194
2022-09-02,-0.010620583,0.28043133
2022-09-03,0.015472073,0.27691257
2022-09-04,0.048821587,0.27481169
2022-09-05,0.05108534,0.27755103
2022-09-06,0.11049177,0.27433434
2022-09-07,0.14076878,0.25899872
2022-09-08,0.16320705,0.26597127
2022-09-09,0.18870635,0.26666918
2022-09-10,0.21140839,0.30039254
2022-09-11,0.22524187,0.30615112
2022-09-12,0.2558934,0.30668786
2022-09-13,0.25741774,0.31661984
2022-09-14,0.26495138,0.28094447
2022-09-15,0.27799353,0.28211927
2022-09-16,0.29595044,0.2729508
2022-09-17,0.31004465,0.27398133
2022-09-18,0.3351897,0.2800621
2022-09-19,0.35239622,0.268563
2022-09-20,0.3688827,0.27076885
2022-09-21,0.3823968,0.2591714
2022-09-22,0.3953432,0.25370273
2022-09-23,0.40698546,0.26901275
2022-09-24,0.4210465,0.26615804
2022-09-25,0.42810145,0.26033106
2022-09-26,0.42886618,0.2581694
2022-09-27,0.44107345,0.264963
2022-09-28,0.45799747,0.26325107
2022-09-29,0.46963763,0.2686893
2022-09-30,0.47928697,0.2706592
2022-10-01,-0.049866688,0.26922143
2022-10-02,-0.02496795,0.26653156
2022-10-03,0.0077413507,0.26240373
2022-10-04,0.033328373,0.2715997
2022-10-05,0.06421395,0.28360072
2022-10-06,0.09454757,0.2805614
2022-10-07,0.12428345,0.2770384
2022-10-08,0.14776738,0.26889664
2022-10-09,0.16042931,0.2682464
2022-10-10,0.15912177,0.26874498
2022-10-11,0.225192,0.26368758
2022-10-12,0.2147548,0.26229566
2022-10-13,0.22479285,0.26385885
2022-10-14,0.23896506,0.26768193
2022-10-15,0.25746065,0.26460502
2022-10-16,0.28196964,0.26253
2022-10-17,0.29748726,0.26584375
2022-10-18,0.3230798,0.27056205
2022-10-19,0.31368995,0.26708728
2022-10-20,0.35412312,0.26354763
2022-10-21,0.35312474,0.26184088
2022-10-22,0.38296255,0.26419398
2022-10-23,0.38402808,0.26470038
2022-10-24,0.39453343,0.2708423
2022-10-25,0.41046456,0.26657256
2022-10-26,0.42050034,0.2794574
2022-10-27,0.4337311,0.29070115
2022-10-28,0.41426378,0.28249085
2022-10-29,0.40398762,0.28767112
2022-10-30,0.3518676,0.29113925
2022-10-31,0.47501728,0.28821138
2022-11-01,-0.08024208,0.28607106
2022-11-02,-0.05936187,0.28598902
2022-11-03,-0.030354913,0.28058043
2022-11-04,-0.022151079,0.28137404
2022-11-05,0.047881436,0.2969277
2022-11-06,0.080013946,0.2991243
2022-11-07,0.08486475,0.2928991
2022-11-08,0.1315418,0.28777897
2022-11-09,0.17922105,0.25407887
2022-11-10,0.16225952,0.2073897
2022-11-11,0.15983082,0.23806114
2022-11-12,0.19888763,0.22953914
2022-11-13,0.21668248,0.2248663
2022-11-14,0.22617449,0.21735531
2022-11-15,0.24639307,0.222347
2022-11-16,0.26304898,0.22639851
2022-11-17,0.2906047,0.22306837
2022-11-18,0.31136176,0.22354794
2022-11-19,0.3188844,0.2233602
2022-11-20,0.3362235,0.22345468
2022-11-21,0.34603542,0.21668863
2022-11-22,0.3676485,0.20857999
2022-11-23,0.37435535,0.21449569
2022-11-24,0.3751584,0.22172084
2022-11-25,0.4034126,0.22152258
2022-11-26,0.4125792,0.22033733
2022-11-27,0.42601526,0.2192066
2022-11-28,0.43465242,0.21925616
2022-11-29,0.44374707,0.21533318
2022-11-30,0.4536452,0.2189719
2022-12-01,-0.09601472,0.23129894
2022-12-02,-0.055784974,0.22775957
2022-12-03,-0.022648271,0.22961627
2022-12-04,0.007371802,0.22694246
2022-12-05,0.036281127,0.23069343
2022-12-06,0.05843463,0.22777015
2022-12-07,0.0909861,0.22962901
2022-12-08,0.1427435,0.22574905
2022-12-09,0.104678765,0.23210214
2022-12-10,0.14774577,0.23069166
2022-12-11,0.16102968,0.23028669
2022-12-12,0.18444689,0.2298839
2022-12-13,0.20082606,0.23118459
2022-12-14,0.22611596,0.24119438
2022-12-15,0.23704158,0.24160092
2022-12-16,0.25357452,0.23381321
2022-12-17,0.27984756,0.22198159
2022-12-18,0.2847147,0.225007
2022-12-19,0.3130617,0.22395283
2022-12-20,0.32905886,0.21865039
2022-12-21,0.3381655,0.22654426
2022-12-22,0.35036266,0.22517867
2022-12-23,0.36573133,0.22531007
2022-12-24,0.35630843,0.22475815
2022-12-25,0.36559525,0.22570378
2022-12-26,0.38030759,0.22559795
2022-12-27,0.39830342,0.22655667
2022-12-28,0.41904595,0.2232744
2022-12-29,0.4226778,0.22057669
2022-12-30,0.42810813,0.22232302
2022-12-31,0.4413835,0.22165479
2023-01-01,-0.026400518,0.2206063
2023-01-02,0.22724171,0.22185263
2023-01-03,0.25188392,0.22281912
2023-01-04,0.29076737,0.2228738
2023-01-05,0.31414142,0.22581315
2023-01-06,0.33892146,0.22543108
2023-01-07,0.3299806,0.22755258
2023-01-08,0.34047812,0.22739743
2023-01-09,0.3435065,0.22944643
2023-01-10,0.34871697,0.23143813
2023-01-11,0.36017883,0.2354448
2023-01-12,0.3740499,0.24471556
2023-01-13,0.4112682,0.25911975
2023-01-14,0.43527243,0.27691802
2023-01-15,0.43935883,0.29475695
2023-01-16,0.42945045,0.29200888
2023-01-17,0.4614724,0.297342
2023-01-18,0.47908595,0.2970348
2023-01-19,0.5048757,0.2899163
2023-01-20,0.483121,0.29579115
2023-01-21,0.5059518,0.32268238
2023-01-22,0.51970893,0.32376173
2023-01-23,0.51698774,0.3231928
2023-01-24,0.5341163,0.32730246
2023-01-25,0.55311626,0.32109585
2023-01-26,0.5666462,0.33054015
2023-01-27,0.56259876,0.3279626
2023-01-28,0.5653166,0.32892478
2023-01-29,0.5651044,0.327921
2023-01-30,0.5869774,0.34075645
2023-01-31,0.5862115,0.32491016
2023-02-01,0.15809359,0.32982656
2023-02-02,0.18351872,0.33955938
2023-02-03,0.19067232,0.3364883
2023-02-04,0.30213836,0.33502966
2023-02-05,0.29665488,0.33318806
2023-02-06,0.29965967,0.32666355
2023-02-07,0.3176108,0.3240177
2023-02-08,0.32868293,0.33243576
2023-02-09,0.34580395,0.3266838
2023-02-10,0.36932006,0.30803034
2023-02-11,0.38715687,0.30487204
2023-02-12,0.39733568,0.30916524
2023-02-13,0.41182417,0.3073513
2023-02-14,0.42403463,0.30781424
2023-02-15,0.44277364,0.31463963
2023-02-16,0.46754083,0.34920734
2023-02-17,0.48386148,0.340085
2023-02-18,0.4785079,0.3545213
2023-02-19,0.48999533,0.35475254
2023-02-20,0.49654374,0.34881997
2023-02-21,0.5035771,0.35713467
2023-02-22,0.524578,0.35102054
2023-02-23,0.53416836,0.34652886
2023-02-24,0.5589036,0.3433004
2023-02-25,0.56799513,0.33040544
2023-02-26,0.5808281,0.33015296
2023-02-27,0.55698186,0.33651215
2023-02-28,0.56328243,0.33613145
2023-03-01,0.13790688,0.33012822
2023-03-02,0.1662646,0.33805555
2023-03-03,0.1976564,0.3352409
2023-03-04,0.2235713,0.31707948
2023-03-05,0.29193985,0.3167632
2023-03-06,0.2990033,0.31798106
2023-03-07,0.2975398,0.31786895
2023-03-08,0.31952107,0.31459224
2023-03-09,0.3389338,0.3062383
2023-03-10,0.34130043,0.28411266
2023-03-11,0.3777511,0.28111437
2023-03-12,0.37632883,0.28651735
2023-03-13,0.40695092,0.31258065
2023-03-14,0.41750735,0.34707284
2023-03-15,0.43670943,0.35667273
2023-03-16,0.44781846,0.35190624
2023-03-17,0.44755837,0.36333704
2023-03-18,0.47584775,0.4015076
2023-03-19,0.4816494,0.3955655
2023-03-20,0.50377965,0.41343135
2023-03-21,0.5075704,0.40916502
2023-03-22,0.516795,0.4147128
2023-03-23,0.5350309,0.4012191
2023-03-24,0.5427337,0.41794962
2023-03-25,0.54766893,0.4036404
2023-03-26,0.5694018,0.40487728
2023-03-27,0.5813344,0.4111403
2023-03-28,0.5790867,0.39679915
2023-03-29,0.5701313,0.3986047
2023-03-30,0.592231,0.41687775
2023-03-31,0.59716815,0.41101867
2023-04-01,0.115688875,0.41889417
2023-04-02,0.13972977,0.4185988
2023-04-03,0.22608878,0.41425365
2023-04-04,0.22762622,0.40728182
2023-04-05,0.2390708,0.41324073
2023-04-06,0.25296435,0.41360283
2023-04-07,0.27968782,0.41104946
2023-04-08,0.2998877,0.4092523
2023-04-09,0.30163404,0.4098101
2023-04-10,0.33369452,0.41615322
2023-04-11,0.35099187,0.43778884
2023-04-12,0.35985827,0.44777206
2023-04-13,0.3861313,0.44186458
2023-04-14,0.3969687,0.45015776
2023-04-15,0.42764357,0.4512072
2023-04-16,0.4336465,0.4486202
2023-04-17,0.45686844,0.44849843
2023-04-18,0.47099075,0.43463448
2023-04-19,0.48447284,0.44951
2023-04-20,0.48416963,0.42413336
2023-04-21,0.47046092,0.41456938
2023-04-22,0.505134,0.3987505
2023-04-23,0.5246175,0.40804696
2023-04-24,0.53150034,0.4038239
