date,price,true
2022-05-19,0.32246384,0.3997509
2022-05-20,0.34564412,0.42493838
2022-05-21,0.34609348,0.4073314
2022-05-22,0.36496276,0.41100258
2022-05-23,0.36278206,0.4244479
2022-05-24,0.38020873,0.40586656
2022-05-25,0.35571203,0.41356042
2022-05-26,0.35199323,0.41246423
2022-05-27,0.36325806,0.4087387
2022-05-28,0.36634544,0.397787
2022-05-29,0.36074793,0.40469444
2022-05-30,0.37261516,0.41101816
2022-05-31,0.38783833,0.44618914
2022-06-01,0.32596612,0.44814146
2022-06-02,0.33120683,0.41635138
2022-06-03,0.32510412,0.42648086
2022-06-04,0.3320583,0.41448516
2022-06-05,0.28061143,0.41696003
2022-06-06,0.29414535,0.41767025
2022-06-07,0.28248468,0.44042718
2022-06-08,0.29618683,0.43875164
2022-06-09,0.31247684,0.42254245
2022-06-10,0.27332547,0.42053944
2022-06-11,0.31255868,0.40489876
2022-06-12,0.3046244,0.39352432
2022-06-13,0.2967165,0.36838892
2022-06-14,0.3561392,0.3020416
2022-06-15,0.35116,0.29764733
2022-06-16,0.32563677,0.30209523
2022-06-17,0.36402574,0.2689254
2022-06-18,0.34281525,0.26993218
2022-06-19,0.34302598,0.2476318
2022-06-20,0.3224436,0.27061042
2022-06-21,0.318615,0.27249292
2022-06-22,0.32251325,0.27349663
2022-06-23,0.37262684,0.26227543
2022-06-24,0.34909686,0.27974337
2022-06-25,0.36659104,0.28228438
2022-06-26,0.36859822,0.28640094
2022-06-27,0.3494701,0.2790009
2022-06-28,0.36738133,0.2742874
2022-06-29,0.37505773,0.26695213
2022-06-30,0.3401436,0.26423013
2022-07-01,0.29234576,0.25640687
2022-07-02,0.31995314,0.25326353
2022-07-03,0.31879267,0.2510858
2022-07-04,0.30158535,0.25174287
2022-07-05,0.29163167,0.26655278
2022-07-06,0.29945126,0.26548547
2022-07-07,0.29784212,0.27139685
2022-07-08,0.28941473,0.28850824
2022-07-09,0.27286848,0.2916089
2022-07-10,0.2998577,0.2873981
2022-07-11,0.3447659,0.27598205
2022-07-12,0.34421536,0.2625085
2022-07-13,0.3468818,0.25237644
2022-07-14,0.35453168,0.26605576
2022-07-15,0.3529943,0.27152437
2022-07-16,0.34984782,0.27496526
2022-07-17,0.3423507,0.2811952
2022-07-18,0.3239458,0.27542752
2022-07-19,0.34793025,0.30000177
2022-07-20,0.33086905,0.31519905
2022-07-21,0.33383074,0.31436044
2022-07-22,0.34936067,0.31188756
2022-07-23,0.33159938,0.30471855
2022-07-24,0.3148556,0.3017355
2022-07-25,0.32121047,0.30341735
2022-07-26,0.31953356,0.28334153
2022-07-27,0.29973143,0.28186044
2022-07-28,0.32467186,0.30803445
2022-07-29,0.35406914,0.32231885
2022-07-30,0.33898684,0.32271796
2022-07-31,0.30338487,0.3196814
2022-08-01,0.22802386,0.31539917
2022-08-02,0.29911655,0.31468037
2022-08-03,0.28873464,0.31030202
2022-08-04,0.29145154,0.30727637
2022-08-05,0.31386328,0.30442855
2022-08-06,0.28641796,0.31297985
2022-08-07,0.24535562,0.30921853
2022-08-08,0.3011622,0.31255072
2022-08-09,0.29310662,0.32234406
2022-08-10,0.3151337,0.3126458
2022-08-11,0.31456417,0.32430172
2022-08-12,0.2934135,0.3243005
2022-08-13,0.28921494,0.33153713
2022-08-14,0.30847925,0.33188555
2022-08-15,0.3096599,0.32999104
2022-08-16,0.25703993,0.32790238
2022-08-17,0.2731277,0.32374647
2022-08-18,0.32898143,0.3150819
2022-08-19,0.30249843,0.31334504
2022-08-20,0.30000702,0.2773276
2022-08-21,0.3080092,0.28091595
2022-08-22,0.3308585,0.2878069
2022-08-23,0.30647144,0.2842402
2022-08-24,0.3381637,0.286973
2022-08-25,0.34476414,0.28436083
2022-08-26,0.33459273,0.28784207
2022-08-27,0.3138474,0.26677662
2022-08-28,0.31915057,0.26362672
2022-08-29,0.32564643,0.25720227
2022-08-30,0.34424415,0.26736382
2022-08-31,0.3347458,0.2594877
2022-09-01,0.29196694,0.26290092
2022-09-02,0.28948897,0.26494104
2022-09-03,0.2858463,0.26161665
2022-09-04,0.28575775,0.2596318
2022-09-05,0.26486805,0.26221985
2022-09-06,0.28148392,0.25918084
2022-09-07,0.26056242,0.24469231
2022-09-08,0.27996272,0.25127974
2022-09-09,0.28490278,0.2519391
2022-09-10,0.2828995,0.28379965
2022-09-11,0.2984212,0.28924015
2022-09-12,0.3229923,0.28974724
2022-09-13,0.31354663,0.2991306
2022-09-14,0.3140228,0.26542583
2022-09-15,0.31891048,0.26653573
2022-09-16,0.31558874,0.2578737
2022-09-17,0.31090465,0.25884733
2022-09-18,0.29142034,0.2645922
2022-09-19,0.29947558,0.25372827
2022-09-20,0.2744596,0.2558123
2022-09-21,0.2897548,0.24485543
2022-09-22,0.29239792,0.23968884
2022-09-23,0.2959684,0.2541532
2022-09-24,0.2633862,0.25145617
2022-09-25,0.30055004,0.24595106
2022-09-26,0.33287454,0.24390881
2022-09-27,0.3330266,0.25032714
