date,price,true
2022-05-19,0.24582449,0.3997509
2022-05-20,0.26105908,0.42493838
2022-05-21,0.26413706,0.4073314
2022-05-22,0.27167073,0.41100258
2022-05-23,0.2691515,0.4244479
2022-05-24,0.27627042,0.40586656
2022-05-25,0.2711221,0.41356042
2022-05-26,0.2687734,0.41246423
2022-05-27,0.27169204,0.4087387
2022-05-28,0.27669445,0.397787
2022-05-29,0.27605453,0.40469444
2022-05-30,0.2857147,0.41101816
2022-05-31,0.29235414,0.44618914
2022-06-01,0.28786027,0.44814146
2022-06-02,0.29139385,0.41635138
2022-06-03,0.29148692,0.42648086
2022-06-04,0.29622313,0.41448516
2022-06-05,0.28073305,0.41696003
2022-06-06,0.28146577,0.41767025
2022-06-07,0.27654752,0.44042718
2022-06-08,0.28127033,0.43875164
2022-06-09,0.28535464,0.42254245
2022-06-10,0.2661754,0.42053944
2022-06-11,0.28079885,0.40489876
2022-06-12,0.27639076,0.39352432
2022-06-13,0.26322234,0.36838892
2022-06-14,0.2790641,0.3020416
2022-06-15,0.2792508,0.29764733
2022-06-16,0.2738659,0.30209523
2022-06-17,0.28678027,0.2689254
2022-06-18,0.27584687,0.26993218
2022-06-19,0.27976328,0.2476318
2022-06-20,0.27571607,0.27061042
2022-06-21,0.22244826,0.27249292
2022-06-22,0.22925845,0.27349663
2022-06-23,0.24989298,0.26227543
2022-06-24,0.24530947,0.27974337
2022-06-25,0.25468668,0.28228438
2022-06-26,0.2565353,0.28640094
2022-06-27,0.24694493,0.2790009
2022-06-28,0.25507176,0.2742874
2022-06-29,0.25694197,0.26695213
2022-06-30,0.2434574,0.26423013
2022-07-01,0.24383879,0.25640687
2022-07-02,0.25693136,0.25326353
2022-07-03,0.2630214,0.2510858
2022-07-04,0.26188543,0.25174287
2022-07-05,0.2553941,0.26655278
2022-07-06,0.25985476,0.26548547
2022-07-07,0.25953332,0.27139685
2022-07-08,0.2567909,0.28850824
2022-07-09,0.25590345,0.2916089
2022-07-10,0.26208818,0.2873981
2022-07-11,0.27185348,0.27598205
2022-07-12,0.2691,0.2625085
2022-07-13,0.2542067,0.25237644
2022-07-14,0.26293147,0.26605576
2022-07-15,0.26532206,0.27152437
2022-07-16,0.2679847,0.27496526
2022-07-17,0.26454827,0.2811952
2022-07-18,0.2548288,0.27542752
2022-07-19,0.26442862,0.30000177
2022-07-20,0.25686625,0.31519905
2022-07-21,0.25714877,0.31436044
2022-07-22,0.2649492,0.31188756
2022-07-23,0.2645486,0.30471855
2022-07-24,0.2527151,0.3017355
2022-07-25,0.25728557,0.30341735
2022-07-26,0.25732616,0.28334153
2022-07-27,0.25447145,0.28186044
2022-07-28,0.26200908,0.30803445
2022-07-29,0.2731855,0.32231885
2022-07-30,0.27194068,0.32271796
2022-07-31,0.26068735,0.3196814
2022-08-01,0.2533951,0.31539917
2022-08-02,0.2729356,0.31468037
2022-08-03,0.27057287,0.31030202
2022-08-04,0.23600969,0.30727637
2022-08-05,0.24769193,0.30442855
2022-08-06,0.24417326,0.31297985
2022-08-07,0.23337573,0.30921853
2022-08-08,0.24409348,0.31255072
2022-08-09,0.24360645,0.32234406
2022-08-10,0.2509796,0.3126458
2022-08-11,0.24930501,0.32430172
2022-08-12,0.24444196,0.3243005
2022-08-13,0.24415833,0.33153713
2022-08-14,0.24922588,0.33188555
2022-08-15,0.24097592,0.32999104
2022-08-16,0.23301673,0.32790238
2022-08-17,0.23875907,0.32374647
2022-08-18,0.2591927,0.3150819
2022-08-19,0.24448678,0.31334504
2022-08-20,0.24843869,0.2773276
2022-08-21,0.25263837,0.28091595
2022-08-22,0.25819212,0.2878069
2022-08-23,0.25149333,0.2842402
2022-08-24,0.2630687,0.286973
2022-08-25,0.2660332,0.28436083
2022-08-26,0.24743143,0.28784207
2022-08-27,0.2453843,0.26677662
2022-08-28,0.24965003,0.26362672
2022-08-29,0.24952501,0.25720227
2022-08-30,0.25749028,0.26736382
2022-08-31,0.25716212,0.2594877
2022-09-01,0.25718296,0.26290092
2022-09-02,0.2579945,0.26494104
2022-09-03,0.25955302,0.26161665
2022-09-04,0.2572496,0.2596318
2022-09-05,0.25339094,0.26221985
2022-09-06,0.25520065,0.25918084
2022-09-07,0.2532072,0.24469231
2022-09-08,0.26245704,0.25127974
2022-09-09,0.26350728,0.2519391
2022-09-10,0.26530546,0.28379965
2022-09-11,0.27250934,0.28924015
2022-09-12,0.27690852,0.28974724
2022-09-13,0.272403,0.2991306
2022-09-14,0.27272326,0.26542583
2022-09-15,0.27373862,0.26653573
2022-09-16,0.27272707,0.2578737
2022-09-17,0.25186235,0.25884733
2022-09-18,0.2498149,0.2645922
2022-09-19,0.24842021,0.25372827
2022-09-20,0.24403307,0.2558123
2022-09-21,0.24835682,0.24485543
2022-09-22,0.2503719,0.23968884
2022-09-23,0.25301698,0.2541532
2022-09-24,0.24633947,0.25145617
2022-09-25,0.25662512,0.24595106
2022-09-26,0.26495746,0.24390881
2022-09-27,0.2639877,0.25032714
2022-09-28,0.2240836,0.24870977
2022-09-29,0.22670811,0.25384763
2022-09-30,0.2280092,0.25570872
2022-10-01,0.22585487,0.25435036
2022-10-02,0.23686495,0.25180903
2022-10-03,0.23585331,0.24790923
2022-10-04,0.24125907,0.25659725
2022-10-05,0.23941088,0.26793534
2022-10-06,0.23705035,0.2650639
2022-10-07,0.22879273,0.26173553
2022-10-08,0.23602992,0.2540435
2022-10-09,0.22211516,0.2534292
2022-10-10,0.22978458,0.2539002
2022-10-11,0.23124492,0.24912216
2022-10-12,0.23560864,0.24780715
2022-10-13,0.23808274,0.24928398
2022-10-14,0.23950234,0.25289586
2022-10-15,0.23544368,0.24998894
2022-10-16,0.2318376,0.24802853
2022-10-17,0.23438147,0.25115922
2022-10-18,0.22552088,0.2556169
2022-10-19,0.24531516,0.2523341
2022-10-20,0.23881698,0.24898994
2022-10-21,0.25871474,0.24737749
2022-10-22,0.23673195,0.24960059
2022-10-23,0.25682795,0.250079
2022-10-24,0.25981513,0.2558817
2022-10-25,0.25880924,0.25184777
2022-10-26,0.26112986,0.2640209
2022-10-27,0.2583617,0.27464357
2022-10-28,0.27565962,0.2668868
2022-10-29,0.2801399,0.2717809
2022-10-30,0.28850362,0.27505746
2022-10-31,0.24741873,0.27229133
2022-11-01,0.26489508,0.27026924
2022-11-02,0.273537,0.27019173
2022-11-03,0.27485764,0.26508188
2022-11-04,0.28410515,0.26583165
2022-11-05,0.26639137,0.2805262
2022-11-06,0.25348762,0.28260148
2022-11-07,0.27945423,0.2767201
2022-11-08,0.26825562,0.2718828
2022-11-09,0.26709315,0.24004422
2022-11-10,0.27514035,0.19593403
2022-11-11,0.25758344,0.22491127
2022-11-12,0.26358488,0.21686
2022-11-13,0.26838264,0.21244527
2022-11-14,0.27537954,0.20534916
2022-11-15,0.27752978,0.21006514
