date,price,true
2022-05-19,0.62892497,0.51224834
2022-05-20,0.7471194,0.6397389
2022-05-21,0.7999501,0.53531736
2022-05-22,0.82779133,0.5872376
2022-05-23,0.8445643,0.61108714
2022-05-24,0.85557383,0.53293985
2022-05-25,0.86317575,0.5970532
2022-05-26,0.86859286,0.5756049
2022-05-27,0.8725388,0.56918913
2022-05-28,0.8754627,0.5515567
2022-05-29,0.8776593,0.5951343
2022-05-30,0.8793288,0.59370995
2022-05-31,0.8806097,0.6640993
2022-06-01,0.88160044,0.58304346
2022-06-02,0.8823718,0.5007097
2022-06-03,0.8829758,0.60299623
2022-06-04,0.8834512,0.5490093
2022-06-05,0.883827,0.5843186
2022-06-06,0.8841251,0.5800127
2022-06-07,0.88436264,0.6338081
2022-06-08,0.8845526,0.5741912
2022-06-09,0.8847048,0.5387282
2022-06-10,0.8848274,0.5733922
2022-06-11,0.8849262,0.5401153
2022-06-12,0.88500625,0.55052525
2022-06-13,0.88507134,0.5169475
2022-06-14,0.8851243,0.41638765
2022-06-15,0.8851676,0.5675574
2022-06-16,0.8852029,0.58913285
2022-06-17,0.885232,0.4973429
2022-06-18,0.88525593,0.5807363
2022-06-19,0.8852755,0.5238652
2022-06-20,0.88529176,0.63434905
2022-06-21,0.8853052,0.5828731
2022-06-22,0.8853164,0.58072877
2022-06-23,0.8853257,0.55089915
2022-06-24,0.8853333,0.62090266
2022-06-25,0.8853396,0.58447987
2022-06-26,0.8853449,0.58832437
2022-06-27,0.8853494,0.56022304
2022-06-28,0.8853531,0.5667784
2022-06-29,0.8853562,0.56038105
2022-06-30,0.8853588,0.5716378
2022-07-01,0.885361,0.55919033
2022-07-02,0.88536274,0.5706097
2022-07-03,0.88536435,0.5729658
2022-07-04,0.8853655,0.579883
2022-07-05,0.88536656,0.61441684
2022-07-06,0.8853675,0.5756753
2022-07-07,0.8853681,0.5927038
2022-07-08,0.8853688,0.6200326
2022-07-09,0.88536936,0.58584553
2022-07-10,0.8853697,0.568005
2022-07-11,0.88537014,0.5504237
2022-07-12,0.8853705,0.5454033
2022-07-13,0.88537073,0.55355674
2022-07-14,0.8853709,0.6116581
2022-07-15,0.8853711,0.5916235
2022-07-16,0.88537115,0.58667564
2022-07-17,0.8853714,0.5934811
2022-07-18,0.8853715,0.5642061
2022-07-19,0.88537157,0.6382426
2022-07-20,0.8853716,0.61536205
2022-07-21,0.8853716,0.5762334
2022-07-22,0.8853717,0.5722456
2022-07-23,0.8853718,0.56078684
2022-07-24,0.88537186,0.5710008
2022-07-25,0.88537186,0.5823835
2022-07-26,0.88537186,0.52929324
2022-07-27,0.88537186,0.5746657
2022-07-28,0.885372,0.64214605
2022-07-29,0.885372,0.61313456
2022-07-30,0.88537204,0.57925355
2022-07-31,0.88537204,0.5708702
2022-08-01,0.88537204,0.5678307
2022-08-02,0.88537204,0.57652575
2022-08-03,0.88537204,0.5675962
2022-08-04,0.88537204,0.57089686
2022-08-05,0.88537204,0.5713308
2022-08-06,0.8853721,0.59914535
2022-08-07,0.88537204,0.56910175
